epoch,train_mse,val_mae,val_rmse,val_r2,val_mae_E,val_rmse_E,val_r2_E,val_mae_R,val_rmse_R,val_r2_R,test_mae,test_rmse,test_r2,test_mae_E,test_rmse_E,test_r2_E,test_mae_R,test_rmse_R,test_r2_R
81,0.00741868,0.05627826,0.10314023,0.90657332,0.05542097,0.09385886,0.91376118,0.05713556,0.11165272,0.90072618,0.05165783,0.08950181,0.93170801,0.05072845,0.07307736,0.94511014,0.05258721,0.10334819,0.92221168
82,0.00720807,0.05529174,0.10144475,0.90961968,0.05415208,0.09231895,0.91656775,0.05643140,0.10981478,0.90396761,0.04957046,0.08613803,0.93674484,0.04921919,0.07141002,0.94758630,0.04992173,0.09869209,0.92906291
83,0.00710502,0.05380237,0.09985927,0.91242272,0.05222208,0.09049305,0.91983538,0.05538265,0.10841934,0.90639271,0.05056517,0.08715373,0.93524429,0.04972194,0.07256766,0.94587316,0.05140840,0.09962671,0.92771300
84,0.00697628,0.05540779,0.10260904,0.90753317,0.05372520,0.09246616,0.91630146,0.05709038,0.11183577,0.90040040,0.05069936,0.08562614,0.93749442,0.04954526,0.07124043,0.94783496,0.05185346,0.09792074,0.93016743
85,0.00700369,0.05420174,0.10033597,0.91158458,0.05287137,0.09065021,0.91955671,0.05553212,0.10916572,0.90509946,0.04919930,0.08430703,0.93940543,0.04809523,0.06921740,0.95075559,0.05030337,0.09707885,0.93136307
86,0.00683969,0.05628940,0.10334101,0.90620923,0.05488511,0.09232546,0.91655599,0.05769368,0.11329051,0.89779240,0.05048104,0.08453835,0.93907246,0.04998421,0.07150736,0.94744332,0.05097786,0.09581317,0.93314112
87,0.00678899,0.05556787,0.10195811,0.90870263,0.05354057,0.09163748,0.91779494,0.05759518,0.11132603,0.90130626,0.05064583,0.08436777,0.93931809,0.05025879,0.07242145,0.94609105,0.05103287,0.09482075,0.93451898
88,0.00677103,0.05470613,0.10167360,0.90921145,0.05157282,0.08915463,0.92218918,0.05783945,0.11281176,0.89865440,0.05057951,0.08529233,0.93798081,0.04812401,0.07082412,0.94844286,0.05303502,0.09763968,0.93056773
89,0.00667331,0.05344601,0.09941416,0.91320171,0.05196700,0.09042962,0.91994773,0.05492501,0.10765144,0.90771400,0.04996922,0.08420600,0.93955058,0.04942772,0.07178189,0.94703900,0.05051073,0.09501926,0.93424451
90,0.00660992,0.05487121,0.10064880,0.91103239,0.05405519,0.09137487,0.91826543,0.05568723,0.10913751,0.90514849,0.05044933,0.08478175,0.93872111,0.04911093,0.07052261,0.94888090,0.05178773,0.09696624,0.93152220
